stg,fragmentation_index
14,0.45893474775
15,0.465059282875
16,0.465102373
17,0.4628467606666667
18,0.45912286616666664
19,0.45697369628571427
20,0.45508434249999996
21,0.446684989
22,0.44798389
23,0.446522584
24,0.440981187
25,0.43834797833333333
26,0.4259937775
27,0.40126433766666664
28,0.39877776466666665
29,0.40242390022222224
30,0.4052584376666667
31,0.40214344807142854
32,0.41021879916666665
33,0.4228072934
34,0.4221002702
35,0.41758682435714284
36,0.420662326
37,0.4089256606875
38,0.3970237802857143
39,0.352613075625
40,0.349878713
41,0.34507864466666666
42,0.3481407378
43,0.35223265666666664
44,0.3562115674
45,0.3630071310909091
46,0.360590156
47,0.3529996065
48,0.3483066753333333
49,0.3435497123333333
50,0.332594063
51,0.326628022
52,0.325474957
53,0.33341688075
54,0.3214823253333333
55,0.3141934502
56,0.32054535255555555
57,0.3259158862631579
58,0.32672899
59,0.3318291075
60,0.32345739533333334
61,0.31651419599999997
62,0.315286251625
63,0.32148288
64,0.32479767800000003
65,0.3448549745
66,0.36446306633333336
67,0.36633211450000003
68,0.3724580422
69,0.38260187887499997
70,0.3942518756
71,0.40143925942857145
72,0.423416007
73,0.4446746814
74,0.44927695241666665
75,0.5005398806666667
76,0.5091840034285714
77,0.5186126532499999
78,0.5156806076666667
79,0.5235727986666666
80,0.5369881591818182
81,0.5384442511428571
82,0.53507346975
83,0.533808324
84,0.5256375225
85,0.5222282583333333
86,0.518188369
87,0.5077348655
88,0.5015904452
89,0.501353888
90,0.502018564625
91,0.50558193225
92,0.47192982
93,0.454736244
94,0.420694855
